UNIQUE_ECOREGION_COLOR,ECO_NAME,BIOME_NAME,REALM,BIOMES_O_PLENTY_BIOME,MINECRAFT_BIOME
#3C7A5C,Northern Rockies conifer forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#3C7F00,Guizhou Plateau broadleaf and mixed forests,Tropical & Subtropical Moist Broadleaf Forests,Palearctic,,minecraft:jungle
#3C7F66,Northern California coastal forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#3C8607,Southern New Guinea lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#3CC900,Central American montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#3D8801,Banda Sea Islands moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#3DC500,Comoros forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#3E7B00,Serra do Mar coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:tropics,minecraft:jungle
#3E8F00,Northern Triangle subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#3ED200,Myanmar coastal rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#3F8800,Atlantic Coast restingas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#408714,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#40C200,Tubuai tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#418D17,Alto Paraná Atlantic forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#419419,Northern Khorat Plateau moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#419613,Lower Gangetic Plains moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#41990D,Borneo lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#427E00,Mato Grosso tropical dry forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#467D00,Knysna-Amatole montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#468700,Sumatran peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:bog,minecraft:swamp
#469E00,Northwest Andean montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#46AC15,Taiwan subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jacaranda_glade,minecraft:jungle
#46AF0E,Peninsular Malaysian peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:bog,minecraft:swamp
#478100,Fernando de Noronha-Atol das Rocas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#478216,Granitic Seychelles forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#47A319,Negro-Branco moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#47A612,Guianan freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:swamp
#47A90B,Caqueta moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#47B206,Mentawai Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#48A100,Vogelkop montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#48A209,Ogasawara subtropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#48A90B,Bolivian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#48B400,Chin Hills-Arakan Yoma montane forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#49810A,Sulawesi montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#4AC919,New Caledonia rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#4B8304,Buru rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#4B8A00,Orissa semi-evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:woodland,minecraft:jungle
#4BBD00,Northern Swahili coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#4C7D00,Marquesas tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#4C8216,Hawai'i tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#4C8300,Bahia interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#4CBC13,Trinidad and Tobago moist forest,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#4CBF0B,Pernambuco coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:tropics,minecraft:jungle
#4CC103,Jamaican moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#4DA300,Huon Peninsula montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#4DCA00,South Western Ghats montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#4EA300,Central Range Papuan montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#4F9116,Luzon montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#508C00,Malabar Coast moist forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#509410,Borneo peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:bog,minecraft:swamp
#509700,Southwest Amazon moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#50A151,Luzon tropical pine forests,Tropical & Subtropical Coniferous Forests,Indomalayan,biomesoplenty:coniferous_forest,minecraft:plains
#50C400,Chimalapas montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#519700,Solimões-Japurá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#51C000,Cross-Niger transition forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#51C8F7,Okhotsk-Manchurian taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#527C00,Guianan Highlands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#528200,Sundarbans freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#529D0C,Kwazulu Natal-Cape coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#537C0C,Vanuatu rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#53A005,Albertine Rift montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#53CD00,Nicobar Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#54D7F2,Scandinavian and Russian taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:taiga
#559900,Orinoco Delta swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:bayou,minecraft:swamp
#567E07,Halmahera rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#56CA56,Sierra de la Laguna pine-oak forests,Tropical & Subtropical Coniferous Forests,Neotropic,biomesoplenty:coniferous_forest,minecraft:plains
#577E00,Caatinga Enclaves moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#578500,Peninsular Malaysian montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#579C00,Yapen rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#57A115,Guianan lowland moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#57A718,Tonle Sap freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#5873FF,Northwest Territories taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#5879ED,Urals montane forest and taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#589D0C,Rapa Nui and Sala y Gómez subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#58A40F,Cauca Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#58AA11,Red River freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#599C89,Altai montane forest and forest steppe,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#59AD0A,Mindanao-Eastern Visayas rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#59B38C,Honshu alpine conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#59CF00,Himalayan subtropical broadleaf forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#5A9376,East Afghan montane conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5A987F,Carpathian montane forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5B8988,Hokkaido montane conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5B8E6E,Helanshan montane conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5BAE81,Mediterranean conifer and mixed forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#5BAF03,East Deccan moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#5C8700,Meghalaya subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#5C9E00,New Britain-New Ireland montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#5CA977,Northern Anatolian conifer and deciduous forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:snowy_taiga
#5D8AFF,Watson Highlands taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#5D8F13,Cardamom Mountains rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#5D9200,Trindade-Martin Vaz Islands tropical forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#5D9E00,Louisiade Archipelago rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#5DA4A1,Qilian Mountains conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5E9200,Tapajós-Xingu moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#5E9A8A,Tian Shan montane conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5E9F95,Sayan montane conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#5EB800,"São Tomé, Príncipe, and Annobón forests",Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#5EC41D,Northern New Guinea lowland rain and freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,biomesoplenty:floodplain,minecraft:swamp
#5FB717,Ucayali moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#5FBFD7,East Siberian taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:taiga
#60980F,Mascarene forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#60A78D,Eastern Himalayan subalpine conifer forests,Temperate Conifer Forests,Indomalayan,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#60BA0F,Peruvian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#61980F,Madagascar subhumid forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#61BC07,Juruá-Purus moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#6277D2,Kamchatka taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:taiga
#629B09,Central Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#62C501,Southwest Borneo freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#639400,Pantepui forests & shrublands,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#63BB00,East African montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#6484CD,Northeast Siberian taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:taiga
#64BF00,Cocos Island moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#64C558,Sierra Madre del Sur pine-oak forests,Tropical & Subtropical Coniferous Forests,Neotropic,biomesoplenty:coniferous_forest,minecraft:plains
#64C6FF,Central Canadian Shield forests,Boreal Forests/Taiga,Nearctic,biomesoplenty:fir_clearing,minecraft:taiga
#659C18,Gurupa várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:jungle
#65B1AE,Interior Yukon-Alaska alpine tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_slopes
#65B1AF,Pacific Coastal Mountain icefields and tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_slopes
#66980F,Society Islands tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#66A21B,Upper Gangetic Plains moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#66ACA2,Kalaallit Nunaat High Arctic tundra,Tundra,Nearctic,biomesoplenty:cold_desert,minecraft:snowy_plains
#679F12,Central American Atlantic moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#67C800,North Western Ghats montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#67D206,Yucatán moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#689700,Isthmian-Pacific moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#689D00,Western Java rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#68A514,South China-Vietnam subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:orchard,minecraft:jungle
#699700,Iquitos várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:jungle
#69D6FC,Copper Plateau taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#6A9900,Norfolk Island subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#6AA79A,Alberta-British Columbia foothills forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#6AA80E,Mizoram-Manipur-Kachin rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#6BA290,Atlantic coastal pine barrens,Temperate Conifer Forests,Nearctic,biomesoplenty:fir_clearing,minecraft:old_growth_pine_taiga
#6BA55D,Central American pine-oak forests,Tropical & Subtropical Coniferous Forests,Neotropic,biomesoplenty:coniferous_forest,minecraft:plains
#6C7FF7,Eastern Canadian Shield taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:fir_clearing,minecraft:taiga
#6CBB00,Carolines tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#6DAA06,Eastern Java-Bali rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#6DB38B,North Cascades conifer forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#6EAE83,Northern Pacific Alaskan coastal forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#6ECA00,Irrawaddy moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#6FA9A5,Okanogan dry forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#6FB21A,Veracruz moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#6FB301,Western Congolian swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:floodplain,minecraft:swamp
#7090F2,Mid-Canada Boreal Plains forests,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#70BF20,Queensland tropical rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#71B513,Puerto Rican moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#72BA00,Solomon Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#739EED,Muskwa-Slave Lake taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#74B70B,Madeira-Tapajós moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#75A017,South Western Ghats moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#75B600,Eastern Congolian swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:floodplain,minecraft:swamp
#76ABE8,Northern Cordillera forests,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:snowy_taiga
#76C006,Sri Lanka montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#778CD7,Alaska Peninsula montane taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#77BA03,Cordillera Oriental montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#78B6E3,Southern Hudson Bay taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#7997D2,Cook Inlet taiga,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#7AC300,Northern Indochina subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#7B9FCD,Eastern Canadian forests,Boreal Forests/Taiga,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#7BCC44,Northeast India-Myanmar pine forests,Tropical & Subtropical Coniferous Forests,Indomalayan,biomesoplenty:coniferous_forest,minecraft:plains
#7DB600,Cook Islands tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#7DE0C2,East Antarctic tundra,Tundra,Antarctica,biomesoplenty:cold_desert,minecraft:snowy_plains
#7EAD1D,Western Ecuador moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#80D002,Sierra Madre de Chiapas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#80DBB5,Ellsworth Mountains tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_slopes
#81B016,Purus-Madeira moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#81C500,Kayah-Karen montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#82D6A9,Marie Byrd Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#83BB9F,Adelie Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#83D19F,Northeast Antarctic Peninsula tundra,Tundra,Antarctica,biomesoplenty:cold_desert,minecraft:snowy_plains
#84ACA7,Enderby Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#84B190,Ellsworth Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#84B697,Dronning Maud Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#85CCCA,Prince Charles Mountains tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_slopes
#86C7BE,South Antarctic Peninsula tundra,Tundra,Antarctica,biomesoplenty:cold_desert,minecraft:snowy_plains
#86D200,Napo moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#87C2B3,South Victoria Land tundra,Tundra,Antarctica,biomesoplenty:tundra,minecraft:snowy_plains
#88BDAA,Transantarctic Mountains tundra,Tundra,Antarctica,biomesoplenty:cold_desert,minecraft:snowy_slopes
#88C44E,Bermuda subtropical conifer forests,Tropical & Subtropical Coniferous Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:plains
#88C800,Andaman Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#89C7FF,Sakhalin Island taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#8BF1C4,Novosibirsk Islands Arctic desert,Tundra,Palearctic,biomesoplenty:cold_desert,minecraft:snowy_plains
#8BF67F,Sumatran tropical pine forests,Tropical & Subtropical Coniferous Forests,Indomalayan,biomesoplenty:coniferous_forest,minecraft:plains
#8CAFA9,Beringia lowland tundra,Tundra,Nearctic,biomesoplenty:muskeg,minecraft:snowy_plains
#8CC8F2,Makgadikgadi halophytics,Flooded Grasslands & Savannas,Afrotropic,biomesoplenty:marsh,minecraft:swamp
#8DD100,Madagascar humid forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#8DECB8,Russian Bering tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_plains
#8FAD5A,Tumbes-Piura dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,biomesoplenty:dryland,minecraft:forest
#8FB3A2,Yamal-Gydan tundra,Tundra,Palearctic,biomesoplenty:muskeg,minecraft:snowy_plains
#8FD1ED,Zambezian coastal flooded savanna,Flooded Grasslands & Savannas,Afrotropic,biomesoplenty:wetland,minecraft:swamp
#8FD6FF,Trans-Baikal conifer forests,Boreal Forests/Taiga,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#90B4B2,Arctic coastal tundra,Tundra,Nearctic,biomesoplenty:muskeg,minecraft:snowy_plains
#90E7AD,Taimyr-Central Siberian tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_plains
#91B053,Cuban dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,biomesoplenty:orchard,minecraft:forest
#91D1AF,Chukchi Peninsula tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_plains
#92B69F,Canadian Middle Arctic Tundra,Tundra,Nearctic,biomesoplenty:muskeg,minecraft:snowy_plains
#92CCA7,Kola Peninsula tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_plains
#92D450,Bahamian pineyards,Tropical & Subtropical Coniferous Forests,Neotropic,biomesoplenty:coniferous_forest,minecraft:plains
#92E2DE,Wrangel Island Arctic desert,Tundra,Palearctic,biomesoplenty:cold_desert,minecraft:snowy_plains
#93B8AB,Trans-Baikal Bald Mountain tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_slopes
#93BF50,Sierra Madre Oriental pine-oak forests,Tropical & Subtropical Coniferous Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:plains
#93C7C6,Northwest Russian-Novaya Zemlya tundra,Tundra,Palearctic,biomesoplenty:tundra,minecraft:snowy_plains
#93FFE2,Brooks-British Range tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_plains
#94B9A0,Alaska-St. Elias Range tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_plains
#94BDB3,Scandinavian Montane Birch forest and grasslands,Tundra,Palearctic,biomesoplenty:snowy_maple_woods,minecraft:snowy_plains
#94C2BC,Russian Arctic desert,Tundra,Palearctic,biomesoplenty:cold_desert,minecraft:snowy_plains
#94E4FF,West Siberian taiga,Boreal Forests/Taiga,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:taiga
#95A85B,Yucatán dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,biomesoplenty:orchard,minecraft:forest
#96BBA7,Canadian High Arctic tundra,Tundra,Nearctic,biomesoplenty:cold_desert,minecraft:snowy_plains
#97C8FF,Tigris-Euphrates alluvial salt marsh,Flooded Grasslands & Savannas,Palearctic,biomesoplenty:marsh,minecraft:swamp
#97C9FF,Saharan halophytics,Flooded Grasslands & Savannas,Palearctic,biomesoplenty:marsh,minecraft:swamp
#98AB55,Hispaniolan dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,biomesoplenty:orchard,minecraft:forest
#98FED7,Canadian Low Arctic tundra,Tundra,Nearctic,biomesoplenty:muskeg,minecraft:snowy_plains
#99F7FF,Enriquillo wetlands,Flooded Grasslands & Savannas,Neotropic,biomesoplenty:wetland,minecraft:swamp
#9ABE44,Central Indochina dry forests,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,biomesoplenty:orchard,minecraft:forest
#9AC0B0,Beringia upland tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_plains
#9AF9CA,Davis Highlands tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_plains
#9BE8D5,Ahklun and Kilbuck Upland Tundra,Tundra,Nearctic,biomesoplenty:tundra,minecraft:snowy_plains
#9DA656,Jalisco dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,biomesoplenty:orchard,minecraft:forest
#9DBEE9,Rann of Kutch seasonal salt marsh,Flooded Grasslands & Savannas,Indomalayan,biomesoplenty:marsh,minecraft:swamp
